grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.1, 'random_strength': 1}",1.0,1.0,1.0,0.6652144003668883,0.762962962962963,0.7719568567026194,1.0,0.7333780733441569
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.1, 'random_strength': 3}",1.0,1.0,1.0,0.6698005044714515,0.7414814814814815,0.7534668721109399,1.0,0.7215829526879576
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.1, 'random_strength': 4}",1.0,1.0,1.0,0.653061224489796,0.7577777777777778,0.7493579866461223,1.0,0.720065662971232
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.1, 'random_strength': 5}",1.0,1.0,1.0,0.6454941527172666,0.7570370370370371,0.746276322547509,1.0,0.7162691707672709
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.1, 'random_strength': 6}",1.0,1.0,1.0,0.6764503554230681,0.7437037037037036,0.7652799178222907,1.0,0.7284779923163541
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': None, 'random_strength': 1}",1.0,1.0,1.0,0.6647557899564319,0.7918518518518519,0.7344632768361583,1.0,0.7303569728814807
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': None, 'random_strength': 3}",1.0,1.0,1.0,0.6814950699380876,0.8,0.7349768875192604,1.0,0.7388239858191161
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': None, 'random_strength': 4}",1.0,1.0,1.0,0.6853932584269662,0.8059259259259259,0.7195685670261942,1.0,0.7369625837930288
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': None, 'random_strength': 5}",1.0,0.9997528015820698,1.0,0.6947947718413208,0.8044444444444445,0.736517719568567,0.9999176005273567,0.745252311951444
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': None, 'random_strength': 6}",1.0,0.9997528015820698,0.9996221424522954,0.6966292134831461,0.8014814814814816,0.7380585516178737,0.9997916480114551,0.7453897488608338
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.05, 'random_strength': 1}",1.0,1.0,1.0,0.6454941527172666,0.7725925925925926,0.7431946584488958,1.0,0.7204271345862517
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.05, 'random_strength': 3}",1.0,1.0,1.0,0.6695711992662233,0.7548148148148148,0.746276322547509,1.0,0.7235541122095158
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.05, 'random_strength': 4}",1.0,1.0,1.0,0.659023159825728,0.7496296296296296,0.7467899332306112,1.0,0.7184809075619896
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.05, 'random_strength': 5}",1.0,1.0,1.0,0.6656730107773445,0.7614814814814814,0.7801746276322548,1.0,0.7357763732970269
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.05, 'random_strength': 6}",1.0,1.0,1.0,0.6633799587250631,0.754074074074074,0.7478171545968157,1.0,0.7217570624653176
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.01, 'random_strength': 1}",1.0,1.0,1.0,0.660398991057097,0.7555555555555555,0.7457627118644067,1.0,0.7205724194923531
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.01, 'random_strength': 3}",1.0,1.0,1.0,0.6741573033707865,0.7785185185185185,0.743708269131998,1.0,0.7321280303404344
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.01, 'random_strength': 4}",1.0,1.0,1.0,0.6684246732400826,0.7896296296296296,0.7380585516178737,1.0,0.7320376181625287
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.01, 'random_strength': 5}",1.0,1.0,1.0,0.6810364595276313,0.7807407407407408,0.7344632768361582,1.0,0.7320801590348435
"{'depth': 4, 'l2_leaf_reg': None, 'learning_rate': 0.01, 'random_strength': 6}",1.0,1.0,1.0,0.6775968814492088,0.7792592592592593,0.7457627118644067,1.0,0.7342062841909582
"{'depth': 4, 'l2_leaf_reg': 2, 'learning_rate': 0.1, 'random_strength': 1}",1.0,1.0,1.0,0.6647557899564321,0.7548148148148147,0.7570621468926554,1.0,0.7255442505546341
"{'depth': 4, 'l2_leaf_reg': 2, 'learning_rate': 0.1, 'random_strength': 3}",1.0,1.0,1.0,0.6425131850493006,0.7185185185185186,0.7277863379558295,1.0,0.6962726805078828
"{'depth': 4, 'l2_leaf_reg': 2, 'learning_rate': 0.1, 'random_strength': 4}",1.0,1.0,1.0,0.6709470304975923,0.7251851851851852,0.7370313302516693,1.0,0.7110545153114822
"{'depth': 4, 'l2_leaf_reg': 2, 'learning_rate': 0.1, 'random_strength': 5}",1.0,1.0,1.0,0.680577849117175,0.7555555555555556,0.7580893682588599,1.0,0.7314075909771969
"{'depth': 4, 'l2_leaf_reg': 2, 'learning_rate': 0.1, 'random_strength': 6}",1.0,1.0,1.0,0.6782847970648934,0.7666666666666667,0.7503852080123267,1.0,0.7317788905812956
"{'depth': 4, 'l2_leaf_reg': 2, 'learning_rate': None, 'random_strength': 1}",1.0,1.0,1.0,0.6553542765420775,0.7651851851851851,0.7452491011813046,1.0,0.7219295209695225
"{'depth': 4, 'l2_leaf_reg': 2, 'learning_rate': None, 'random_strength': 3}",1.0,1.0,1.0,0.6576473285943591,0.745925925925926,0.7247046738572163,1.0,0.7094259761258338
"{'depth': 4, 'l2_leaf_reg': 2, 'learning_rate': None, 'random_strength': 4}",1.0,1.0,1.0,0.6663609263930291,0.7607407407407407,0.7380585516178737,1.0,0.7217200729172145
"{'depth': 4, 'l2_leaf_reg': 2, 'learning_rate': None, 'random_strength': 5}",1.0,1.0,1.0,0.6714056409080487,0.7629629629629628,0.7478171545968156,1.0,0.727395252822609
"{'depth': 4, 'l2_leaf_reg': 2, 'learning_rate': None, 'random_strength': 6}",1.0,1.0,1.0,0.6631506535198348,0.7637037037037037,0.7123780174627633,1.0,0.7130774582287672
"{'depth': 4, 'l2_leaf_reg': 2, 'learning_rate': 0.05, 'random_strength': 1}",1.0,1.0,1.0,0.6413666590231599,0.7414814814814815,0.719054956343092,1.0,0.7006343656159112
"{'depth': 4, 'l2_leaf_reg': 2, 'learning_rate': 0.05, 'random_strength': 3}",1.0,1.0,1.0,0.6638385691355194,0.7540740740740741,0.7426810477657935,1.0,0.7201978969917957
