grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'ccp_alpha': 0, 'max_depth': None, 'max_features': 1, 'n_estimators': 100}",1.0,1.0,1.0,0.6804631965145609,0.731111111111111,0.7236774524910119,1.0,0.7117505867055612
"{'ccp_alpha': 0, 'max_depth': None, 'max_features': 1, 'n_estimators': 200}",1.0,1.0,1.0,0.6699151570740657,0.7840740740740741,0.7621982537236774,1.0,0.738729161623939
"{'ccp_alpha': 0, 'max_depth': None, 'max_features': 1, 'n_estimators': 300}",1.0,1.0,1.0,0.6999541389589544,0.8344444444444444,0.7216230097586029,1.0,0.7520071977206673
"{'ccp_alpha': 0, 'max_depth': 4, 'max_features': 1, 'n_estimators': 100}",0.998015873015873,0.9888760711931444,0.9972605327791423,0.6388443017656501,0.7696296296296297,0.7308680020544427,0.9947174923293866,0.7131139778165743
"{'ccp_alpha': 0, 'max_depth': 4, 'max_features': 1, 'n_estimators': 200}",0.9984737484737485,0.9968688200395518,0.9964103532968072,0.7099289153863793,0.8088888888888889,0.7031330251669234,0.9972509739367025,0.7406502764807305
"{'ccp_alpha': 0, 'max_depth': 4, 'max_features': 1, 'n_estimators': 300}",0.998015873015873,0.9964568226763348,0.9944266011713585,0.7002980967667967,0.8140740740740741,0.7344632768361582,0.9962997656211888,0.7496118158923429
"{'ccp_alpha': 0, 'max_depth': 5, 'max_features': 1, 'n_estimators': 100}",0.9995421245421245,0.9954680290046144,0.9949933874929152,0.6642971795459757,0.7451851851851852,0.7354904982023627,0.9966678470132181,0.7149909543111744
"{'ccp_alpha': 0, 'max_depth': 5, 'max_features': 1, 'n_estimators': 200}",0.9986263736263736,0.9999176005273566,0.9991498205176649,0.7083237789497822,0.7814814814814814,0.7318952234206472,0.9992312648904651,0.7405668279506369
"{'ccp_alpha': 0, 'max_depth': 5, 'max_features': 1, 'n_estimators': 300}",0.9996947496947497,0.9998352010547132,0.9993387492915171,0.7115340518229765,0.7874074074074074,0.7447354904982024,0.99962290001366,0.7478923165761954
"{'ccp_alpha': 0, 'max_depth': 6, 'max_features': 1, 'n_estimators': 100}",1.0,0.9998352010547132,0.9993387492915171,0.7381334556294429,0.6985185185185185,0.7324088341037494,0.9997246501154101,0.723020269417237
"{'ccp_alpha': 0, 'max_depth': 6, 'max_features': 1, 'n_estimators': 200}",1.0,1.0,1.0,0.7314836046778261,0.7718518518518519,0.696969696969697,1.0,0.7334350511664584
"{'ccp_alpha': 0, 'max_depth': 6, 'max_features': 1, 'n_estimators': 300}",1.0,1.0,1.0,0.7229993120843843,0.7999999999999999,0.7426810477657936,1.0,0.7552267866167259
"{'ccp_alpha': 0, 'max_depth': 7, 'max_features': 1, 'n_estimators': 100}",1.0,1.0,0.9999055356130738,0.687915615684476,0.7725925925925926,0.7036466358500258,0.9999685118710246,0.7213849480423647
"{'ccp_alpha': 0, 'max_depth': 7, 'max_features': 1, 'n_estimators': 200}",1.0,1.0,1.0,0.6998394863563403,0.7896296296296297,0.7185413456599897,1.0,0.7360034872153198
"{'ccp_alpha': 0, 'max_depth': 7, 'max_features': 1, 'n_estimators': 300}",1.0,1.0,1.0,0.7142857142857143,0.7874074074074074,0.6974833076527992,1.0,0.7330588097819737
"{'ccp_alpha': 0.1, 'max_depth': None, 'max_features': 1, 'n_estimators': 100}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
