grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.01, 'max_depth': 5, 'path_smooth': 0}",0.9940476190476191,0.9923368490441661,0.9956546382013981,0.6163723916532906,0.7533333333333334,0.7046738572162302,0.994013035431061,0.6914598607342848
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.01, 'max_depth': 5, 'path_smooth': 1}",0.9937423687423688,0.9946440342781806,0.9953712450406198,0.6152258656271498,0.7748148148148147,0.7087827426810477,0.9945858826870563,0.6996078077076707
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.01, 'max_depth': 6, 'path_smooth': 0}",0.9940476190476191,0.9950560316413974,0.9960324957491026,0.6163723916532906,0.7925925925925925,0.6846430405752439,0.9950453821460398,0.6978693416070424
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.01, 'max_depth': 6, 'path_smooth': 1}",0.9937423687423688,0.9959624258404746,0.9959380313621764,0.6152258656271498,0.7770370370370371,0.7082691319979456,0.9952142753150065,0.7001773448873775
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.01, 'max_depth': 7, 'path_smooth': 0}",0.9940476190476191,0.9950560316413974,0.9960324957491026,0.6163723916532906,0.7925925925925925,0.6846430405752439,0.9950453821460398,0.6978693416070424
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.01, 'max_depth': 7, 'path_smooth': 1}",0.9937423687423688,0.995385629531971,0.9959380313621764,0.6152258656271498,0.7725925925925925,0.7082691319979456,0.9950220098788387,0.698695863405896
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.1, 'max_depth': 5, 'path_smooth': 0}",1.0,1.0,1.0,0.6273790415042421,0.7681481481481481,0.7565485362095532,1.0,0.7173585752873145
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.1, 'max_depth': 5, 'path_smooth': 1}",1.0,1.0,1.0,0.6354047236872277,0.7814814814814814,0.7457627118644068,1.0,0.720882972344372
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.1, 'max_depth': 6, 'path_smooth': 0}",1.0,1.0,1.0,0.6273790415042421,0.7659259259259258,0.7611710323574731,1.0,0.7181586665958802
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.1, 'max_depth': 6, 'path_smooth': 1}",1.0,1.0,1.0,0.6519146984636551,0.7414814814814814,0.7770929635336414,1.0,0.7234963811595927
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.1, 'max_depth': 7, 'path_smooth': 0}",1.0,1.0,1.0,0.6273790415042421,0.7688888888888888,0.74884437596302,1.0,0.7150374354520502
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.1, 'max_depth': 7, 'path_smooth': 1}",1.0,1.0,1.0,0.6519146984636551,0.7837037037037037,0.7729840780688239,1.0,0.7362008267453942
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.2, 'max_depth': 5, 'path_smooth': 0}",1.0,1.0,1.0,0.6427424902545288,0.7585185185185185,0.7729840780688239,1.0,0.7247483622806237
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.2, 'max_depth': 5, 'path_smooth': 1}",1.0,1.0,1.0,0.6720935565237331,0.8162962962962963,0.765793528505393,1.0,0.7513944604418074
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.2, 'max_depth': 6, 'path_smooth': 0}",1.0,1.0,1.0,0.6571887181839028,0.8088888888888889,0.7688751926040062,1.0,0.7449842665589327
"{'extra_trees': True, 'lambda_l1': 0, 'lambda_l2': 0, 'learning_rate': 0.2, 'max_depth': 6, 'path_smooth': 1}",1.0,1.0,1.0,0.6709470304975922,0.7903703703703704,0.7935285053929122,1.0,0.7516153020869583
