grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'C': 0.6, 'max_iter': 100, 'penalty': 'l1', 'solver': 'saga'}",1.0,0.9971160184574819,0.9953737847804225,0.5689062141710618,0.6464194373401535,0.5993836671802772,0.9974966010793015,0.6049031062304976
"{'C': 0.6, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga'}",1.0,0.9971160184574819,0.9951055983908818,0.5705113506076588,0.6432225063938619,0.6024653312788906,0.9974072056161213,0.6053997294268038
"{'C': 0.6, 'max_iter': 200, 'penalty': 'l1', 'solver': 'saga'}",1.0,0.9971160184574819,0.9953737847804225,0.569364824581518,0.6464194373401535,0.5993836671802772,0.9974966010793015,0.6050559763673162
"{'C': 0.6, 'max_iter': 200, 'penalty': 'l2', 'solver': 'saga'}",1.0,0.9971160184574819,0.9951055983908818,0.5705113506076588,0.6432225063938619,0.6024653312788906,0.9974072056161213,0.6053997294268038
"{'C': 0.8, 'max_iter': 100, 'penalty': 'l1', 'solver': 'saga'}",1.0,0.9972808174027686,0.9957090177673484,0.5689062141710617,0.6470588235294118,0.5978428351309708,0.9976632783900389,0.6046026242771481
"{'C': 0.8, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga'}",1.0,0.9972808174027686,0.9953067381830373,0.5700527401972025,0.6448209718670076,0.6014381099126861,0.9975291851952686,0.6054372739922987
"{'C': 0.8, 'max_iter': 200, 'penalty': 'l1', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957090177673484,0.5691355193762897,0.6460997442455243,0.5978428351309708,0.9976907448809201,0.6043593662509282
"{'C': 0.8, 'max_iter': 200, 'penalty': 'l2', 'solver': 'saga'}",1.0,0.9972808174027686,0.9953067381830373,0.5700527401972025,0.6448209718670076,0.6014381099126861,0.9975291851952686,0.6054372739922987
"{'C': 1.0, 'max_iter': 100, 'penalty': 'l1', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957760643647335,0.5691355193762899,0.645460358056266,0.5973292244478686,0.9977130937467152,0.6039750339601415
"{'C': 1.0, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga'}",1.0,0.9973632168754121,0.9955078779751929,0.5686769089658336,0.6451406649616368,0.5988700564971752,0.9976236982835349,0.6042292101415486
"{'C': 1.0, 'max_iter': 200, 'penalty': 'l1', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957760643647335,0.5693648245815179,0.6454603580562659,0.5978428351309708,0.9977130937467152,0.6042226725895848
"{'C': 1.0, 'max_iter': 200, 'penalty': 'l2', 'solver': 'saga'}",1.0,0.9973632168754121,0.9955078779751929,0.5686769089658336,0.6451406649616368,0.5988700564971752,0.9976236982835349,0.6042292101415486
"{'C': 1.2, 'max_iter': 100, 'penalty': 'l1', 'solver': 'saga'}",1.0,0.9974456163480554,0.9957760643647335,0.569364824581518,0.6441815856777494,0.5973292244478686,0.9977405602375963,0.6036252115690454
"{'C': 1.2, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga'}",1.0,0.9973632168754121,0.9956419711699632,0.5689062141710617,0.6445012787723785,0.5993836671802775,0.9976683960151251,0.6042637200412392
"{'C': 1.2, 'max_iter': 200, 'penalty': 'l1', 'solver': 'saga'}",1.0,0.9974456163480554,0.9957760643647335,0.5695941297867462,0.6451406649616369,0.5973292244478686,0.9977405602375963,0.6040213397320838
"{'C': 1.2, 'max_iter': 200, 'penalty': 'l2', 'solver': 'saga'}",1.0,0.9973632168754121,0.9956419711699632,0.5689062141710617,0.6441815856777492,0.5993836671802775,0.9976683960151251,0.6041571556763627
"{'C': 0.6, 'l1_ratio': 0.4, 'max_iter': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9971160184574819,0.9953067381830373,0.5693648245815179,0.645460358056266,0.6024653312788906,0.9974742522135064,0.6057635046388915
"{'C': 0.6, 'l1_ratio': 0.4, 'max_iter': 200, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9971160184574819,0.9953067381830373,0.5693648245815179,0.645460358056266,0.6024653312788906,0.9974742522135064,0.6057635046388915
"{'C': 0.6, 'l1_ratio': 0.5, 'max_iter': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9971160184574819,0.9953067381830373,0.5691355193762898,0.6448209718670077,0.6019517205957885,0.9974742522135064,0.6053027372796953
"{'C': 0.6, 'l1_ratio': 0.5, 'max_iter': 200, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9971160184574819,0.9953067381830373,0.5691355193762898,0.6451406649616368,0.6019517205957885,0.9974742522135064,0.6054093016445717
"{'C': 0.6, 'l1_ratio': 0.6, 'max_iter': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9971160184574819,0.9953067381830373,0.5698234349919742,0.6448209718670076,0.6019517205957884,0.9974742522135064,0.6055320424849233
"{'C': 0.6, 'l1_ratio': 0.6, 'max_iter': 200, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9971160184574819,0.9953067381830373,0.5698234349919742,0.6448209718670076,0.6014381099126862,0.9974742522135064,0.6053608389238893
"{'C': 0.8, 'l1_ratio': 0.4, 'max_iter': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9972808174027686,0.9953067381830373,0.5689062141710617,0.6457800511508951,0.5998972778633795,0.9975291851952686,0.6048611810617788
"{'C': 0.8, 'l1_ratio': 0.4, 'max_iter': 200, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9972808174027686,0.9953067381830373,0.5695941297867462,0.6457800511508951,0.5998972778633795,0.9975291851952686,0.6050904862670069
"{'C': 0.8, 'l1_ratio': 0.5, 'max_iter': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9972808174027686,0.995574924572578,0.5695941297867462,0.6457800511508951,0.5998972778633795,0.9976185806584489,0.6050904862670069
"{'C': 0.8, 'l1_ratio': 0.5, 'max_iter': 200, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9972808174027686,0.995574924572578,0.5691355193762898,0.6454603580562659,0.5993836671802774,0.9976185806584489,0.6046598482042777
"{'C': 0.8, 'l1_ratio': 0.6, 'max_iter': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9972808174027686,0.995574924572578,0.5693648245815179,0.6451406649616367,0.5993836671802774,0.9976185806584489,0.6046297189078106
"{'C': 0.8, 'l1_ratio': 0.6, 'max_iter': 200, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9972808174027686,0.995574924572578,0.5693648245815179,0.6448209718670077,0.598356445814073,0.9976185806584489,0.6041807474208662
"{'C': 1.0, 'l1_ratio': 0.4, 'max_iter': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9973632168754121,0.9956419711699632,0.5691355193762899,0.6448209718670077,0.5988700564971752,0.9976683960151251,0.6042755159134909
"{'C': 1.0, 'l1_ratio': 0.4, 'max_iter': 200, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9973632168754121,0.9956419711699632,0.5691355193762899,0.6448209718670077,0.5988700564971752,0.9976683960151251,0.6042755159134909
"{'C': 1.0, 'l1_ratio': 0.5, 'max_iter': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957090177673484,0.5691355193762899,0.6448209718670077,0.5988700564971752,0.9976907448809201,0.6042755159134909
"{'C': 1.0, 'l1_ratio': 0.5, 'max_iter': 200, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957090177673484,0.5691355193762899,0.6441815856777494,0.598356445814073,0.9976907448809201,0.6038911836227041
"{'C': 1.0, 'l1_ratio': 0.6, 'max_iter': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957090177673484,0.569364824581518,0.6445012787723785,0.5978428351309708,0.9976907448809201,0.6039029794949559
"{'C': 1.0, 'l1_ratio': 0.6, 'max_iter': 200, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957090177673484,0.569364824581518,0.6445012787723785,0.5978428351309708,0.9976907448809201,0.6039029794949559
"{'C': 1.2, 'l1_ratio': 0.4, 'max_iter': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957090177673484,0.5691355193762899,0.6445012787723785,0.598356445814073,0.9976907448809201,0.6039977479875804
"{'C': 1.2, 'l1_ratio': 0.4, 'max_iter': 200, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957090177673484,0.569364824581518,0.6448209718670077,0.5978428351309708,0.9976907448809201,0.6040095438598322
"{'C': 1.2, 'l1_ratio': 0.5, 'max_iter': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957760643647335,0.569364824581518,0.6448209718670077,0.5978428351309708,0.9977130937467152,0.6040095438598322
"{'C': 1.2, 'l1_ratio': 0.5, 'max_iter': 200, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957760643647335,0.569364824581518,0.6448209718670077,0.5978428351309708,0.9977130937467152,0.6040095438598322
"{'C': 1.2, 'l1_ratio': 0.6, 'max_iter': 100, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957760643647335,0.5689062141710617,0.6441815856777494,0.5978428351309708,0.9977130937467152,0.6036435449932607
"{'C': 1.2, 'l1_ratio': 0.6, 'max_iter': 200, 'penalty': 'elasticnet', 'solver': 'saga'}",1.0,0.9973632168754121,0.9957760643647335,0.5691355193762898,0.6448209718670077,0.5978428351309708,0.9977130937467152,0.6039331087914228
