grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_split': 2}",1.0,1.0,1.0,0.5820912634716808,0.5794437340153453,0.613251155624037,1.0,0.5915953843703544
"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_split': 10}",0.9978570716635105,0.998681608437706,0.998524974857526,0.5854161889474891,0.5792838874680306,0.6111967128916281,0.9983545516529141,0.5919655964357159
"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_split': 12}",0.9978570716635105,0.998681608437706,0.998122695273215,0.6012382481082321,0.5941496163682864,0.618130457113508,0.9982204584581438,0.6045061071966755
"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_split': 14}",0.9941194059603309,0.9954680290046144,0.998122695273215,0.5875945883971566,0.5804028132992327,0.6235233692860812,0.9959033767460533,0.5971735903274902
"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_split': 16}",0.9941194059603309,0.9852092946605142,0.9975192758967483,0.5856454941527173,0.579923273657289,0.6101694915254237,0.9922826588391978,0.5919127531118099
"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_split': 18}",0.9911791089404964,0.9852092946605142,0.9972510895072075,0.5887411144232974,0.5845588235294118,0.6050333846944016,0.9912131643694061,0.5927777742157035
"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_split': 20}",0.9911791089404964,0.9852092946605142,0.9969829031176668,0.5960788809905985,0.5672953964194374,0.6070878274268106,0.9911237689062258,0.5901540349456155
"{'bootstrap': False, 'max_depth': None, 'max_features': 0.9, 'min_samples_split': 2}",1.0,1.0,1.0,0.5715432240311855,0.5837595907928388,0.603492552645095,1.0,0.5862651224897064
"{'bootstrap': False, 'max_depth': None, 'max_features': 0.9, 'min_samples_split': 10}",0.9997009867437455,0.9998352010547131,1.0,0.5800275166246274,0.5772058823529411,0.6106831022085258,0.9998453959328195,0.5893055003953648
"{'bootstrap': False, 'max_depth': None, 'max_features': 0.9, 'min_samples_split': 12}",1.0,0.9998352010547132,1.0,0.5872506305893144,0.5780051150895141,0.6058038007190552,0.9999450670182378,0.5903531821326279
"{'bootstrap': False, 'max_depth': None, 'max_features': 0.9, 'min_samples_split': 14}",0.9990032891458188,0.9994232036914964,0.9999999999999999,0.5856454941527172,0.558343989769821,0.6176168464304057,0.9994754976124384,0.587202110117648
