grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'ccp_alpha': 0, 'max_depth': 4, 'max_features': 1, 'n_estimators': 100}",0.9990842490842491,0.9985992089650626,0.9999055356130738,0.7078651685393259,0.7029629629629629,0.778120184899846,0.9991963312207952,0.7296494388007116
"{'ccp_alpha': 0, 'max_depth': 4, 'max_features': 1, 'n_estimators': 200}",0.9996947496947497,1.0,0.9987719629699603,0.697775739509287,0.8222222222222223,0.7190549563430919,0.99948890422157,0.7463509726915337
"{'ccp_alpha': 0, 'max_depth': 4, 'max_features': 1, 'n_estimators': 300}",1.0,0.9991760052735663,0.9998110712261477,0.7227700068791562,0.7985185185185186,0.7190549563430919,0.999662358833238,0.7467811605802556
"{'ccp_alpha': 0, 'max_depth': 5, 'max_features': 1, 'n_estimators': 100}",1.0,1.0,0.9994332136784433,0.7092409997706948,0.7822222222222223,0.7791474062660504,0.9998110712261478,0.7568702094196559
"{'ccp_alpha': 0, 'max_depth': 5, 'max_features': 1, 'n_estimators': 200}",1.0,0.9998352010547132,1.0,0.70236184361385,0.8096296296296297,0.7647663071391885,0.9999450670182378,0.7589192601275561
"{'ccp_alpha': 0, 'max_depth': 5, 'max_features': 1, 'n_estimators': 300}",1.0,1.0,1.0,0.7349231827562485,0.7933333333333333,0.724191063174114,1.0,0.7508158597545652
"{'ccp_alpha': 0, 'max_depth': 6, 'max_features': 1, 'n_estimators': 100}",1.0,1.0,0.9999055356130738,0.6798899335014904,0.7577777777777778,0.7216230097586029,0.9999685118710246,0.7197635736792903
"{'ccp_alpha': 0, 'max_depth': 6, 'max_features': 1, 'n_estimators': 200}",1.0,1.0,1.0,0.7191011235955057,0.8059259259259259,0.733949666153056,1.0,0.7529922385581626
"{'ccp_alpha': 0, 'max_depth': 6, 'max_features': 1, 'n_estimators': 300}",1.0,1.0,1.0,0.7349231827562486,0.7725925925925927,0.7539804827940421,1.0,0.7538320860476277
"{'ccp_alpha': 0, 'max_depth': 7, 'max_features': 1, 'n_estimators': 100}",1.0,1.0,1.0,0.6929603301994954,0.7881481481481482,0.7205957883923986,1.0,0.7339014222466806
"{'ccp_alpha': 0, 'max_depth': 7, 'max_features': 1, 'n_estimators': 200}",1.0,1.0,1.0,0.7191011235955057,0.7703703703703704,0.7611710323574731,1.0,0.7502141754411165
"{'ccp_alpha': 0, 'max_depth': 7, 'max_features': 1, 'n_estimators': 300}",1.0,1.0,1.0,0.7255216693418941,0.7874074074074073,0.7329224447868515,1.0,0.7486171738453843
"{'ccp_alpha': 0.1, 'max_depth': 4, 'max_features': 1, 'n_estimators': 100}",0.5,0.5,0.6178915548838089,0.5,0.5,0.5190035952747818,0.5392971849612697,0.5063345317582606
"{'ccp_alpha': 0.1, 'max_depth': 4, 'max_features': 1, 'n_estimators': 200}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.1, 'max_depth': 4, 'max_features': 1, 'n_estimators': 300}",0.6475122100122099,0.5,0.5,0.583925705113506,0.5,0.5,0.5491707366707367,0.5279752350378354
"{'ccp_alpha': 0.1, 'max_depth': 5, 'max_features': 1, 'n_estimators': 100}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.1, 'max_depth': 5, 'max_features': 1, 'n_estimators': 200}",0.8037240537240536,0.5,0.5,0.5223572575097455,0.5,0.5,0.6012413512413511,0.5074524191699151
"{'ccp_alpha': 0.1, 'max_depth': 5, 'max_features': 1, 'n_estimators': 300}",0.6578907203907204,0.5,0.5,0.5757853703279064,0.5,0.5,0.5526302401302402,0.5252617901093021
"{'ccp_alpha': 0.1, 'max_depth': 6, 'max_features': 1, 'n_estimators': 100}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.1, 'max_depth': 6, 'max_features': 1, 'n_estimators': 200}",0.7266483516483517,0.5,0.5,0.5053886723228618,0.5,0.5,0.5755494505494506,0.5017962241076206
"{'ccp_alpha': 0.1, 'max_depth': 6, 'max_features': 1, 'n_estimators': 300}",0.7032967032967034,0.5,0.5,0.520178858060078,0.5,0.5,0.5677655677655679,0.506726286020026
"{'ccp_alpha': 0.1, 'max_depth': 7, 'max_features': 1, 'n_estimators': 100}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.1, 'max_depth': 7, 'max_features': 1, 'n_estimators': 200}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.1, 'max_depth': 7, 'max_features': 1, 'n_estimators': 300}",0.7417582417582418,0.5,0.5,0.5263700986012383,0.5,0.5,0.5805860805860806,0.5087900328670795
"{'ccp_alpha': 0.2, 'max_depth': 4, 'max_features': 1, 'n_estimators': 100}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.2, 'max_depth': 4, 'max_features': 1, 'n_estimators': 200}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.2, 'max_depth': 4, 'max_features': 1, 'n_estimators': 300}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.2, 'max_depth': 5, 'max_features': 1, 'n_estimators': 100}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.2, 'max_depth': 5, 'max_features': 1, 'n_estimators': 200}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.2, 'max_depth': 5, 'max_features': 1, 'n_estimators': 300}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.2, 'max_depth': 6, 'max_features': 1, 'n_estimators': 100}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.2, 'max_depth': 6, 'max_features': 1, 'n_estimators': 200}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.2, 'max_depth': 6, 'max_features': 1, 'n_estimators': 300}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.2, 'max_depth': 7, 'max_features': 1, 'n_estimators': 100}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.2, 'max_depth': 7, 'max_features': 1, 'n_estimators': 200}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"{'ccp_alpha': 0.2, 'max_depth': 7, 'max_features': 1, 'n_estimators': 300}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
