grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9954212454212454,0.9906064601186552,0.992726242206688,0.7293052052281587,0.8244444444444445,0.7211093990755009,0.9929179825821963,0.7582863495827014
"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.974053724053724,0.9606130520764667,0.9642924617419233,0.726782847970649,0.8222222222222222,0.7236774524910118,0.9663197459573714,0.7575608408946276
"{'C': 1, 'gamma': 0.05, 'kernel': 'rbf'}",1.0,1.0,1.0,0.7029351066269204,0.7481481481481482,0.7021058038007192,1.0,0.7177296861919293
"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.0,0.0,1.0,0.37445540013758316,0.2896296296296296,0.6594761171032357,0.3333333333333333,0.4411870489568162
"{'C': 2, 'gamma': 'scale', 'kernel': 'rbf'}",1.0,0.9999176005273566,1.0,0.7289612474203164,0.857037037037037,0.7113507960965588,0.9999725335091189,0.7657830268513042
"{'C': 2, 'gamma': 0.01, 'kernel': 'rbf'}",0.996947496947497,0.9821193144363876,0.9915926695635745,0.7429488649392342,0.8400000000000001,0.7195685670261942,0.9902198269824863,0.7675058106551429
"{'C': 2, 'gamma': 0.05, 'kernel': 'rbf'}",1.0,1.0,1.0,0.698005044714515,0.768888888888889,0.6964560862865947,1.0,0.7211166732966662
"{'C': 2, 'gamma': 0.1, 'kernel': 'rbf'}",0.0,1.0,1.0,0.3767484521898647,0.7170370370370371,0.6589625064201337,0.6666666666666666,0.5842493318823452
"{'C': 3, 'gamma': 'scale', 'kernel': 'rbf'}",1.0,1.0,1.0,0.7220820912634717,0.8711111111111112,0.7185413456599898,1.0,0.7705781826781909
"{'C': 3, 'gamma': 0.01, 'kernel': 'rbf'}",0.9996947496947497,0.9982696110744891,0.9988664273568865,0.7368722770006879,0.8585185185185186,0.7082691319979456,0.9989435960420417,0.7678866425057174
"{'C': 3, 'gamma': 0.05, 'kernel': 'rbf'}",1.0,1.0,1.0,0.698005044714515,0.768888888888889,0.6961992809450437,1.0,0.7210310715161491
"{'C': 3, 'gamma': 0.1, 'kernel': 'rbf'}",0.0,1.0,1.0,0.3767484521898647,0.7170370370370371,0.6589625064201337,0.6666666666666666,0.5842493318823452
"{'C': 1, 'degree': 2, 'kernel': 'poly'}",0.9981684981684982,0.9963744232036915,0.9989608917438125,0.715432240311855,0.7585185185185186,0.6931176168464305,0.9978346043720007,0.7223561252256013
"{'C': 1, 'degree': 3, 'kernel': 'poly'}",1.0,0.9999176005273566,1.0,0.7007567071772529,0.7659259259259259,0.7329224447868515,0.9999725335091189,0.7332016926300101
"{'C': 1, 'degree': 4, 'kernel': 'poly'}",1.0,1.0,1.0,0.6775968814492088,0.7118518518518518,0.7216230097586029,1.0,0.7036905810198878
"{'C': 2, 'degree': 2, 'kernel': 'poly'}",1.0,1.0,1.0,0.7138271038752579,0.7807407407407407,0.6908063687724705,1.0,0.7284580711294897
"{'C': 2, 'degree': 3, 'kernel': 'poly'}",1.0,1.0,1.0,0.6886035313001605,0.7977777777777777,0.7331792501284027,1.0,0.7398535197354469
"{'C': 2, 'degree': 4, 'kernel': 'poly'}",1.0,1.0,1.0,0.6631506535198349,0.7437037037037038,0.7247046738572162,1.0,0.7105196770269183
"{'C': 3, 'degree': 2, 'kernel': 'poly'}",1.0,1.0,1.0,0.7044255904609034,0.7962962962962963,0.6882383153569593,1.0,0.7296534007047196
"{'C': 3, 'degree': 3, 'kernel': 'poly'}",1.0,1.0,1.0,0.6762210502178398,0.8081481481481483,0.726759116589625,1.0,0.737042771651871
"{'C': 3, 'degree': 4, 'kernel': 'poly'}",1.0,1.0,1.0,0.6553542765420775,0.7533333333333334,0.7200821777092964,1.0,0.7095899291949025
