grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'alpha': 0, 'lambda': 1, 'learning_rate': 0.3, 'max_depth': 4}",1.0,1.0,1.0,0.6202705801421692,0.762962962962963,0.763739085772984,1.0,0.715657542959372
"{'alpha': 0, 'lambda': 1, 'learning_rate': 0.3, 'max_depth': 5}",1.0,1.0,1.0,0.6422838798440724,0.7503703703703704,0.721623009758603,1.0,0.704759086657682
"{'alpha': 0, 'lambda': 1, 'learning_rate': 0.3, 'max_depth': 6}",1.0,1.0,1.0,0.6285255675303828,0.7570370370370371,0.7349768875192604,1.0,0.7068464973622267
"{'alpha': 0, 'lambda': 1, 'learning_rate': 0.3, 'max_depth': 7}",1.0,1.0,1.0,0.6285255675303828,0.7511111111111112,0.7267591165896251,1.0,0.7021319317437064
"{'alpha': 0, 'lambda': 1, 'learning_rate': 0.2, 'max_depth': 4}",1.0,1.0,1.0,0.6216464113735382,0.7577777777777778,0.7750385208012327,1.0,0.7181542366508494
"{'alpha': 0, 'lambda': 1, 'learning_rate': 0.2, 'max_depth': 5}",1.0,1.0,1.0,0.6099518459069021,0.7733333333333332,0.75346687211094,1.0,0.7122506837837251
"{'alpha': 0, 'lambda': 1, 'learning_rate': 0.2, 'max_depth': 6}",1.0,1.0,1.0,0.6198119697317129,0.7659259259259259,0.7544940934771442,1.0,0.7134106630449276
"{'alpha': 0, 'lambda': 1, 'learning_rate': 0.2, 'max_depth': 7}",1.0,1.0,1.0,0.6198119697317129,0.7637037037037038,0.7734976887519259,1.0,0.7190044540624475
"{'alpha': 0, 'lambda': 1, 'learning_rate': 0.1, 'max_depth': 4}",1.0,1.0,1.0,0.5980279752350379,0.7488888888888889,0.7596302003081664,1.0,0.7021823548106978
"{'alpha': 0, 'lambda': 1, 'learning_rate': 0.1, 'max_depth': 5}",1.0,1.0,1.0,0.6078880990598488,0.7325925925925926,0.7478171545968156,1.0,0.6960992820830857
"{'alpha': 0, 'lambda': 1, 'learning_rate': 0.1, 'max_depth': 6}",1.0,1.0,1.0,0.6094932354964457,0.7814814814814816,0.7606574216743708,1.0,0.7172107128840994
"{'alpha': 0, 'lambda': 1, 'learning_rate': 0.1, 'max_depth': 7}",1.0,1.0,1.0,0.6094932354964457,0.74,0.7519260400616333,1.0,0.7004730918526931
"{'alpha': 0, 'lambda': 2, 'learning_rate': 0.3, 'max_depth': 4}",1.0,1.0,1.0,0.6296720935565238,0.7274074074074074,0.7416538263995892,1.0,0.6995777757878402
"{'alpha': 0, 'lambda': 2, 'learning_rate': 0.3, 'max_depth': 5}",1.0,1.0,1.0,0.6411373538179317,0.7518518518518519,0.7370313302516692,1.0,0.710006845307151
"{'alpha': 0, 'lambda': 2, 'learning_rate': 0.3, 'max_depth': 6}",1.0,1.0,1.0,0.6411373538179317,0.7444444444444445,0.7483307652799178,1.0,0.7113041878474314
"{'alpha': 0, 'lambda': 2, 'learning_rate': 0.3, 'max_depth': 7}",1.0,1.0,1.0,0.6411373538179317,0.7296296296296297,0.7483307652799178,1.0,0.706365916242493
"{'alpha': 0, 'lambda': 2, 'learning_rate': 0.2, 'max_depth': 4}",1.0,1.0,1.0,0.6340288924558587,0.74,0.768361581920904,1.0,0.7141301581255876
